Satellite_Tag_Num,Project_Year,Project_Type,Project_Name,Location,Start_Transmission,End_Transmission,Data_Days,Seal_ID,NickName,Size,Sex,Other_tags,Handling,
16952_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/12/96,11/17/96,36,UNK,,UNK,M,,,
16951_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/11/96,02/24/97,136,Y125,,19,M,,,
16952,1990s,foraging,90s-NWHI-foraging-FP,FFS,05/08/96,05/15/96,7,Y300,,12,M,,,
16943_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/14/96,01/14/97,91,Y315,,12,F,,,
16945,1990s,foraging,90s-NWHI-foraging-FP,FFS,04/30/96,07/29/96,90,Y341,,12,M,,,
16950_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/15/96,01/03/97,80,Y343,,12,F,,,
16947_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/25/97,04/25/97,31,Y362,,13,M,,,
16951,1990s,foraging,90s-NWHI-foraging-FP,FFS,04/29/96,07/26/96,88,Y395,,11,M,,,
16946_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/08/96,11/19/96,42,Y413,,11,M,,,
16944,1990s,foraging,90s-NWHI-foraging-FP,FFS,05/01/96,08/01/96,92,Y427,,11,M,,,
1542,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/19/96,02/28/97,132,Y432,,11,F,,,
16945_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/12/96,10/15/96,3,Y475,,10,F,,,
16950,1990s,foraging,90s-NWHI-foraging-FP,FFS,04/29/96,08/04/96,97,Y485,,10,M,,,
3026,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/14/97,03/20/97,6,Y515,,8,F,,,
16952_3,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/21/97,05/09/97,49,Y597,,15,F,,,
3025,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/09/97,05/06/97,58,Y600,,14,F,,,
16943_3,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/22/97,03/29/97,7,Y654,,11,F,,,
16948,1990s,foraging,90s-NWHI-foraging-FP,FFS,05/10/96,08/01/96,84,YF39,,8,M,,,
16943,1990s,foraging,90s-NWHI-foraging-FP,FFS,05/03/96,07/31/96,89,YF78,,8,M,,,
5410,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/11/97,03/21/97,10,YL00,,11,M,,,
16947,1990s,foraging,90s-NWHI-foraging-FP,FFS,05/05/96,09/06/96,124,YL02,,10,M,,,
16948_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/14/96,11/10/96,27,YL51,,10,F,,,
16949_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/15/97,03/23/97,8,YL71,,11,F,,,
16945_3,1990s,foraging,90s-NWHI-foraging-FP,FFS,03/19/97,06/30/97,103,YN56-97,,10,M,,,
16946,1990s,foraging,90s-NWHI-foraging-FP,FFS,05/10/96,08/03/96,84,YN65,,9,M,,,
16949,1990s,foraging,90s-NWHI-foraging-FP,FFS,05/13/96,09/01/96,111,YT36,,12,M,,,
16944_2,1990s,foraging,90s-NWHI-foraging-FP,FFS,10/10/96,12/11/96,61,YU77,,7,M,,,
24111,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,10/30/01,09/04/02,309,K609,,A,M,,,
24110,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,10/30/01,09/21/02,326,BK29,,A,M,,,
13058,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,10/30/01,03/09/02,130,KM17,,W,F,,,
24098,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,10/31/01,11/07/01,7,Kh27,,J,M,,,
24105,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,10/31/01,07/07/02,249,K142,,A,F,,,
5414,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,10/31/01,04/13/02,164,KD25,,J,F,,,
13035,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/01/01,05/08/02,188,KX08,,A,F,,,
24100,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/01/01,06/10/02,221,YL14,,A,F,,,
24101,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/01/01,04/29/02,179,KD01,,J,M,,,
24099,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/01/01,02/23/02,114,KM31,,W,F,,,
24113,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/02/01,04/11/02,160,RM04,,W,M,,,
24108,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/02/01,09/05/02,307,K608,,A,M,,,
24195,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/02/01,04/06/02,154,KD31,,J,F,,,
24104,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/03/01,07/18/02,256,KD11,,J,F,,,
24102,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/03/01,06/05/02,214,KY28,,J,M,,,
24103,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/04/01,02/15/02,103,K505,,A,F,,,
13047,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/04/01,11/23/01,19,K616,,J,M,,,
24115,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/04/01,11/13/01,9,KM29,,W,F,,,
24106,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/04/01,09/08/02,307,KZ94,,A,M,,,
24114,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/05/01,03/08/02,123,KY14,,J,M,,,
25781,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/06/01,04/23/02,167,KY32,,J,F,,,
22813,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/08/01,03/23/02,135,KM21,,W,F,,,
25780,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/10/01,06/08/02,210,RD13,,J,M,,,
22812,2000s,foraging,90s-00s-NWHI-movement-BS,Kure,11/12/01,11/16/01,4,KH00,,J,M,,,
13050,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/05/01,10/12/01,7,TD82,,J,F,,,
13048,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/06/01,11/24/01,49,TM64,,W,F,,,
13051,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/06/01,05/06/02,212,TM28,,W,M,,,
13031,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/06/01,12/12/01,67,TC50,,A,M,,,
13049,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/06/01,01/07/02,93,TM62,,W,M,,,
13054,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/07/01,04/23/02,198,TM56,,W,F,,,
13039,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/07/01,07/30/02,296,TD90,,J,M,,,
13038,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/07/01,11/03/01,27,TD28,,J,M,,,
13033,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/08/01,09/01/02,328,TJ58,,A,M,,,
13052,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/08/01,04/16/02,190,TD64,,J,F,,,
13055,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/08/01,02/10/02,125,TD84,,J,M,,,
13059,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/08/01,04/12/02,186,TY65,,J,M,,,
13057,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/08/01,04/17/02,191,TM16,,W,M,,,
13034,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/09/01,07/13/02,277,TY78,,J,M,,,
13043,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/09/01,07/15/02,279,TD48,,J,F,,,
13041,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/09/01,07/12/02,276,T84F,,A,F,,,
13053,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/09/01,05/23/02,225,TM34,,W,F,,,
13056,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/09/01,06/09/02,243,TM20,,W,M,,,
13037,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/10/01,06/16/02,249,TJ70,,A,F,,,
5416,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/11/01,03/05/02,145,TD78,,J,F,,,
5421,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/11/01,10/21/01,11,TM22,,W,F,,,
13042,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/11/01,07/29/02,291,Y608,,A,F,,,
13040,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/11/01,02/17/02,129,TT26,,A,F,,,
5412,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/11/01,10/25/01,13,TM44,,W,F,,,
5422,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/11/01,01/25/02,106,TM24,,W,M,,,
24112,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/12/01,04/22/02,192,BF44,,A,F,,,
24107,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/13/01,05/27/02,226,TN40,,A,M,,,
13046,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/14/01,06/24/02,253,TD98,,J,F,,,
13044,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/15/01,08/28/02,318,TZ56,,A,M,,,
24109,2000s,foraging,90s-00s-NWHI-movement-BS,Laysan,10/17/01,01/18/02,93,TZ34,,A,M,,,
5411,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/14/00,07/08/01,267,GL22,,A,M,,,
24099,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/14/00,04/01/01,169,GZ10,,A,M,,,
24098,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/14/00,11/01/00,18,GQ38,,J,M,,,
24109,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/15/00,12/26/00,72,GH26,,W,F,,,
24103,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/15/00,01/15/01,92,G3AO,,A,F,,,
5422,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/15/00,03/15/01,151,TC74,,A,F,,,
24108,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/16/00,12/06/00,51,GH00,,W,M,,,
5416,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/16/00,05/03/01,199,G208,,A,M,,,
24110,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/16/00,03/23/01,157,GH06,,W,F,,,
24112,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/17/00,12/25/00,69,GD26,,J,M,,,
22813,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/17/00,12/27/00,72,GD42,,J,M,,,
24101,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/17/00,11/20/00,34,G178,,A,F,,,
24115,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/17/00,03/26/01,160,TY12,,J,M,,,
5412,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/17/00,11/04/00,18,GL34,,A,M,,,
5421,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/18/00,04/04/01,168,GY08,,J,M,,,
24111,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/18/00,02/10/01,115,GD32,,J,M,,,
24105,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/19/00,03/04/01,136,G066,,A,F,,,
24106,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/19/00,11/03/00,15,GD24,,J,M,,,
24104,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/19/00,02/25/01,129,G5AM,,J,F,,,
25780,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/19/00,02/22/01,126,GH18,,W,F,,,
25781,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/20/00,02/02/01,105,GH30,,W,M,,,
24113,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/20/00,12/03/00,44,GH04,,W,M,,,
24114,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/20/00,10/22/00,1,GH11,,W,M,,,
24107,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/21/00,03/22/01,153,GD37,,J,F,,,
22812,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/21/00,12/10/00,50,GH22,,W,F,,,
5414,2000s,foraging,90s-00s-NWHI-movement-BS,Lisianski,10/24/00,06/19/01,238,GF02,,A,F,,,
24195,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,12/31/00,04/21/01,111,RD24,,J,F,,,
24196,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,12/31/00,05/15/01,135,RY14,,J,M,,,
24102,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,12/31/00,04/14/01,104,RQ15,,J,F,,,
24100,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/01/01,06/05/01,154,RQ02,,J,M,,,
24198,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/01/01,03/14/01,72,RH10,,W,M,,,
13044,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/02/01,01/29/01,27,RH26,,W,M,,,
13045,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/02/01,05/05/01,123,RD20,,J,M,,,
5423,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/02/01,07/22/01,201,RY00,,J,F,,,
5424,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/03/01,08/31/01,241,BN44,,A,M,,,
13036,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/03/01,09/21/01,261,B443,,A,M,,,
13030,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/03/01,06/30/01,178,BK27,,A,F,,,
13047,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/03/01,03/04/01,59,RH16,,W,F,,,
13035,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/04/01,05/08/01,124,R101,,A,F,,,
13046,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/04/01,04/02/01,88,RH04,,W,F,,,
13032,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,01/06/01,06/08/01,153,RY04,,J,M,,,
24197,2000s,foraging,90s-00s-NWHI-movement-BS,Midway,02/07/01,04/25/01,78,RY18,,J,M,,,
24099,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,10/25/97,09/15/98,325,BF32,,A,M,,,
5414,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,10/26/97,02/05/98,102,BC31,,J,M,,,
24101,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,10/26/97,02/15/98,112,BN71,,A,M,,,
24098,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,10/26/97,10/28/97,2,B5AW,,A,M,,,
5421,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,10/26/97,01/06/98,71,BC51,,J,M,,,
