"AnzahlFund";"StatistikFunde";"FindID";"Storage_refID";"Context_refID";"Site_refID";"Excavation_Number";"Object_Description";"Decoration_Description";"UseWear_Description";"Preservation_Condition";"Preservation_Status";"Find_Material";"Production_Quality";"Surface_Treatment";"Find_Category";"OtherTextileTools_Height_max_mm";"OtherTextileTools_Height_min_mm";"OtherTextileTools_Thickness_min_mm";"OtherTextileTools_Thickness_max_mm";"OtherTextileTools_Width_min_mm";"OtherTextileTools_Width_max_mm";"OtherTextileTools_Length_max_mm";"OtherTextileTools_Length_min_mm";"OtherTextileTools_Diameter_max_mm";"OtherTextileTools_Diameter_min_mm";"OtherTextileTools_Hole_Shape";"Spinning_bowl_Height_mm";"Spinning_bowl_Thickness_mm";"Spinning_Bowl_Rim_Diameter_mm";"Spinning_bowl_Base_Diameter_mm";"Spinning_Bowl_Number_of_Handles";"Spinning_bowl_Thickness_of_Handles_mm";"Loomweights_type_Valuelist";"Loomweight_Weight_in_g";"Loomweight_Weight_if_not_complete";"Loomweight_Estimated_full_weight";"Loomweight_Diameter_mm";"Loomweight_Height_mm";"Loomweight_Thickness_mm";"Loomweight_Width_mm";"Loomweight_Position_of_holes";"Loomweight_Number_of_holes";"Loomweight_Holediameter_range_mm";"Loomweight_Groove";"Fibre_Material_SystemA";"Fibre_Material_SystemB";"Thread_Spindirection_SystemA";"Thread_Spindirection_SystemB";"Thread_Spinangle_SystemA";"Thread_Spinangle_SystemB";"Textile_Weave";"Textile_Structure";"Textile_Material_analysis";"WarpWeft";"Thread_Fibre_Count_SystemA";"Thread_Fibre_Count_SystemB";"Threads_per_cm_SystemA";"Threads_per_cm_SystemB";"Needle_Thickness_at_midshaft";"Needle_Shape_of_head";"Needle_Shape_of_eye";"Needle_Eye_size_max_mm";"Needle_Length_mm";"Needle_Thickness_mm";"Spindlewhorl_Weight_in_g";"Spindlewhorl_Weight_if_not_complete_g";"Spindlewhorl_Estimated_full_weight";"Spindlewhorl_Diameter_in_mm";"Spindlewhorl_Height_in_mm";"Spindlewhorl_Holediameter_mm";"Spindlewhorl_type_Valuelist";"Spindlewhorl_Hole_shape_Valuelist";"Shuttle_Width_max_mm";"Shuttle_Width_min_mm";"Shuttle_Length_min_mm";"Shuttle_Length_max_mm";"Shuttle_Thickness_max_mm";"Shuttle_Opening";"Iconographic_Object_Height_max_mm";"Iconographic_Object_Length_max_mm";"Iconographic_Object_Width_max_mm";"Iconographic_Object_Type";"Iconographic_Object_Representation";"Textile_Fibre_Thickness";"Imprinted_Object_Height_mm";"Imprinted_Object_Length_mm";"Imprinted_Object_Width_mm";"Find_Category Anzahl";"Thread_diameter_mm_SystemA";"Thread_diameter_mm_SystemB";"Fibre_diameter_µm_SystemA";"Fibre_diameter_µm_SystemB";"Ply_SystemA";"Ply_SystemB";"Textile_Parenthetical_NotationalSystemA";"Textile_Parenthetical_NotationalSystemB";"Fibre_diameter_mean_SystemA";"Fibre_diameter_mean_SystemB";"Kemp_diameter_SystemB";"Kemp_diameter_SystemA";"Statistikspinnwirtel";"StatistikTextilien";"StatistikWebgewichte";"StatistikSpools";"StatistikTextileImprints";"StatistikPin";"StatistikIconogrphy";"StatistikBrush";"Impression_TwistdirectionA";"Impression_TwistdirectionB";"Impression_Twistangle_°A";"Impression_Twistangle_°B";"Impression_Dimensions_maxLength_mm";"Impression_Dimensions_maxWidth_mm";"Impression_Depth";"Impression_Depth_in%of_cord";"Impression_Twists_in_2cm";"Impression_single_threads_mean_diameter_mmA";"Impression_single_threads_mean_diameter_mmB";"Hollow";"AuswertungANIMALFIBRES";"AuswertungVEGETABLEFIBRES";"AuswertungUNDETERMINED";"SpinnwirtelTypSchmidt";"Statistikfeld SWGewicht";"Statistikfeld SW";"Anzahl HöheDurchmesserGewicht";"AuswertungSW";"Gewicht_min";"Gewicht_SW_max";"Ratio DurchmesserdurchHöhe";"Zeitscheiben";"Auswertung Perforated Ceramic Discs";"MittelwertHöhe";"MittelwertGewicht";"MittelwertDurchmesser";"Feld 185";"Decoration";"SWmodel_durchlocht";"SiteID";"Site_Name";"Longitude";"Latitude";"GeonamesID";"Datierungen";"Datierungen End";"Datierungen Kopie";"Datierungen End Kopie";"AuswertungFormelTEX";"AuswertungFormelTEXIMPR";"AuswertungFormelTEXPSEUD";"Auswertung Perforated Ceramic Discs2";"MittelwertHöhe2";"MittelwertGewicht2";"MittelwertDurchmesser2";"Georegion";"Georegion Kopie";"TIME_MIN";"TIME_MAX";"id"
"1";"2759";"C00436";"";"";"4";"KRC 70-235";"";"";"";"";"";"";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Not available";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"";"";"";"";"";"";"";"";"4";"Korucutepe";"39,533219";"38,632207";"N.A.";"4500";"2300";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Upper Euphrates";"Ostanatolien";"4500";"2500";"300363"
"1";"2759";"C00479";"";"387";"3";"FS #17";"Light loose fibres, very few kemps";"";"";"";"";"Textile";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Sheep Wool";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"11-101";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"3000-2500";"";"";"";"";"";"";"0";"3";"Shahr-i Sokhta";"61,4057";"30,6473";"N.A.";"3200";"1800";"3200";"1800";"1";"0";"0";"";"";"";"";"Sistan";"Südwest Afghanistan";"3000";"2000";"300511"
"1";"2759";"C00443";"";"";"4";"2013-016";"";"";"";"";"";"";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"";"";"";"";"";"";"";"";"4";"Korucutepe";"39,533219";"38,632207";"N.A.";"4500";"2300";"No Textiles";"No Textiles";"0";"0";"0";"";"";"";"";"Upper Euphrates";"Ostanatolien";"4500";"2500";"300478"
"1";"2759";"C00484";"";"119";"3";"FS #22";"light colored twine";"";"";"";"";"Textile";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Jute";"";"sZ";"";"";"";"";"Twined";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"5";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"3000-2500";"";"";"";"";"";"";"0";"3";"Shahr-i Sokhta";"61,4057";"30,6473";"N.A.";"3200";"1800";"3200";"1800";"1";"0";"0";"";"";"";"";"Sistan";"Südwest Afghanistan";"3000";"2000";"300516"
"1";"2759";"C01393";"";"";"17";"";"9 Gewebefragmente in Leinwandbindung";"";"";"";"";"Textile";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Flax";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"";"";"";"";"";"";"";"0";"17";"Bab ed-Dra";"35,535566";"31,251676";"";"3000";"2000";"3000";"2000";"1";"0";"0";"";"";"";"";"";"Mittelmeerraum";"3000";"2000";"300812"
"1";"2759";"C01819";"";"1116";"55";"1738";"Clay whorl";"";"";"";"";"Clay";"";"";"Spindle Whorl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"?";"5000-4500";"";"";"";"";"";"";"0";"55";"Mersin";"34,633333";"36,8";"";"6500";"6000";"6500";"6000";"1";"0";"0";"";"";"";"";"";"Mittelmeerraum";"6500";"6000";"300857"
"1";"2759";"C00984";"";"1843";"24";"000272";"very faint impression of a very fine fabric. very probable vegetal fibre, on a small clay ball, no further element recognisable.";"";"";"";"Partial (more than half)";"Clay";"";"";"Textile Imprint";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Plain";"Woven";"";"";"";"";"18";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"22,8";"30,8";"21,6";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"23,3";"20,1";"";"";"";"";"1";"";"";"";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"";"";"";"";"";"";"";"0";"24";"Sharafabad";"48,31";"32,28";"";"";"";"No Textiles";"No Textiles";"0";"1";"0";"";"";"";"";"SWI Lowlands";"Mesopotamien";"0";"0";"301031"
"1";"2759";"C01387";"";"483";"46";"";"Cave XIV/6, Flechtwaren";"";"";"";"";"Textile";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Flax";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"5000-4500";"";"";"";"";"";"";"0";"46";"Caves in the Northern Judean Desert";"";"";"";"4600";"2700";"4600";"2700";"1";"0";"0";"";"";"";"";"";"Mittelmeerraum";"4500";"2500";"301377"
"1";"2759";"C01394";"";"";"17";"";"9 Gewebefragmente in Leinwandbindung";"";"";"";"";"Textile";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Flax";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"";"";"";"";"";"";"";"0";"17";"Bab ed-Dra";"35,535566";"31,251676";"";"3000";"2000";"3000";"2000";"1";"0";"0";"";"";"";"";"";"Mittelmeerraum";"3000";"2000";"301109"
"1";"2759";"C01346";"";"452";"46";"";"Cave V/49, 7 Gewebereste, Reste von Garnen und Schnüren Locus 6 ist chalkolithisch alle anderen Loci sind hellenistisch und jünger";"";"";"";"";"Textile";"";"";"Textiles";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Flax";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2758";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1218";"2060";"1858";"13,46955214333834";"1,47";"155";"";"3500-3000";"";"";"";"";"";"";"0";"46";"Caves in the Northern Judean Desert";"";"";"";"4600";"2700";"4600";"2700";"1";"0";"0";"";"";"";"";"";"Mittelmeerraum";"4500";"2500";"301378"
