"site_name";"Latitude";"Longitude";"site_archive_area";"site_archive_hight";"site_depositional_environment";"pollen_roc";"pollen_pal_rich";"pollen_ap_nap";"pollen_cerealia.t";"pollen_plantago.l";"pollen_plantago.mm";"pollen_plantago.t";"pollen_polygonum.a";"pollen_rumex.aa";"pollen_rumex.t";"pollen_urtica";"pollen_time";"pollen_time_recal";"pollen_depth";"characc_val";"characc_time";"characc_time_recal";"charconc1_val";"charconc1_time";"charconc1_time_recal";"charconc2_val";"charconc2_time";"charconc2_time_recal";"geochem_Na";"geochem_SM_value";"geochem_SM";"geochem_Ca";"geochem_P";"geochem_K";"geochem_Mn";"geochem_Mg";"geochem_Al";"geochem_Fe";"geochem_time";"toc_val";"toc_time";"toc_time_recal";"age_depth (cm)";"age_depth_range (cm)";"age_lab_code";"age_dated_material";"age_dating_method";"age_date_uncal_BP (a)";"age_date_uncal_range (a)";"age_date_cal_BP_used (a)";"age_Calibration_curve";"age_Calibration_prog";"id";"TIME_MIN";"TIME_MAX"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"60.5";"1";"0.1";"-1";"-1";"-1";"-1";"0.3";"0";"";"5150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400238";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"66";"0.8";"0.3";"-1";"-1";"-1";"-1";"0.2";"0.2";"";"5470";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400239";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"65.5";"1";"0";"-1";"-1";"-1";"-1";"0";"0.2";"";"6000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400240";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"44";"0.2";"0";"-1";"-1";"-1";"-1";"0";"0";"";"6170";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400241";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"61.5";"0.3";"0";"-1";"-1";"-1";"-1";"0";"0";"";"6370";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400242";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"55.5";"0.2";"0";"-1";"-1";"-1";"-1";"0.2";"0";"";"6510";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400243";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"68.5";"0.2";"0";"-1";"-1";"-1";"-1";"0.3";"0";"";"6670";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400244";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"76.5";"0.2";"0";"-1";"-1";"-1";"-1";"0";"0";"";"6850";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400245";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"63.5";"2.3";"0";"-1";"-1";"-1";"-1";"0";"0.1";"";"7130";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400246";"0";"0"
"Keszthely";"46.7705";"17.1973";"NA";"106";"Marsh land";"";"";"84";"0.1";"0";"-1";"-1";"-1";"-1";"0";"0.1";"";"7320";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"400247";"0";"0"
